pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt_score,gt01,gt02,gt03,gt04,gt05,gt06,age,sex,edulvl1,e_dighelp,PR,CO,UT,FA,DE,UN,TAIA,GT
3,3,4,4,1,4,2,3,4,1,0,0,4,3,0,1,0,0,0,0,4,3,4,3,3,4,4,3,4,2,2,4,0,0,0,0,0,0,0,0,0,3,3,0,0,2,4,0,3,1,4,0,2,4,2,3,4,3,1,1,4,2,1,2,1,0.5,0,1,1,1,0,0,27,f,college,NA,29,8,38,3,17,28,123,0.5
4,3,4,3,2,3,2,3,3,4,3,3,3,4,2,2,1,2,2,1,4,4,5,1,4,4,3,3,3,3,2,4,3,0,0,1,3,2,2,1,2,2,1,2,1,2,3,2,3,3,4,3,3,4,3,3,3,3,3,2,3,2,2,3,3,2.1666666666666665,3,2,3,2,1,2,36,f,specialist,3,31,22,37,16,25,34,165,2.1666666666666665
2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,3,1,2,1,1,2,2,1,2,2,2,2,2,3,1,1,3,32,f,school,NA,23,23,31,16,17,20,130,2
2,2,3,2,0,4,3,2,3,5,2,2,2,4,2,1,3,2,1,2,5,3,4,4,3,5,5,5,4,3,1,5,2,1,4,0,2,3,2,2,2,2,3,1,4,0,3,1,5,3,2,2,2,3,1,0,1,1,0,1,2,1,1,1,0,2.5,1,2,3,2,3,4,32,f,college,3.5,26,18,44,20,26,12,146,2.5
2,2,0,0,0,4,0,2,2,4,0,2,1,5,0,0,0,3,1,3,5,5,3,5,5,2,2,2,2,4,1,2,0,2,0,0,1,0,0,2,0,1,0,1,0,2,5,1,1,1,4,0,0,3,0,4,0,3,1,3,3,3,3,3,4,0.3333333333333333,1,0,0,0,1,0,43,m,master,3,16,15,34,6,13,30,114,0.3333333333333333
4,4,4,4,3,4,3,4,4,3,3,2,2,4,3,4,1,2,3,3,4,4,5,2,5,5,5,5,2,2,3,3,4,3,0,1,4,3,2,4,4,3,2,3,2,0,5,3,4,3,5,3,3,3,4,4,3,4,3,2,5,3,4,4,4,0.8333333333333334,0,0,1,1,3,0,25,f,college,3.6666666666666665,37,26,43,28,33,43,210,0.8333333333333334
3,3,4,3,2,3,3,3,3,3,2,1,3,4,1,2,5,2,3,3,3,4,4,4,3,4,3,3,3,3,2,3,2,1,0,0,2,3,3,1,1,1,3,1,0,1,5,2,2,3,4,2,1,3,2,3,2,3,3,1,4,3,3,3,3,2,1,2,3,3,2,1,34,f,specialist,3.5,30,21,36,14,23,33,157,2
2,2,3,3,0,2,2,3,3,4,2,2,3,4,1,1,4,0,0,3,4,4,4,5,3,2,3,4,3,3,2,3,1,4,2,1,4,1,3,4,4,4,3,2,2,1,4,2,2,3,4,1,2,3,1,1,3,2,0,0,3,0,2,3,3,2,1,2,3,3,2,1,21,m,bachelor,3.5,24,16,37,28,25,21,151,2
2,3,2,3,1,2,2,3,3,3,2,2,1,3,2,1,2,1,1,1,4,3,4,3,2,3,4,4,2,2,2,5,1,2,1,1,2,2,2,2,2,2,3,3,2,1,3,2,3,2,2,2,1,3,2,3,2,3,2,1,2,1,1,1,3,1.6666666666666667,1,1,3,1,3,1,25,m,college,3,24,14,36,17,23,24,138,1.6666666666666667
4,2,2,2,2,2,4,4,3,3,3,4,4,4,4,4,2,4,3,4,3,3,4,3,2,3,5,4,4,1,4,4,4,2,4,3,3,3,2,0,1,2,3,2,4,2,3,3,4,3,1,2,1,4,4,3,4,3,1,3,4,4,4,5,3,2.5,3,3,3,2,1,3,36,m,master,4,28,34,39,24,26,42,193,2.5
